Song,RB1,RB2,RB3,NRB1,NRB2,NRB3,JLTD
Song For Bilbao,,339,,,,,
Song For Lorraine,,,,340,,,
Song For My Father,407,,,,347,,
Song For My Lady,,324,,,,,
Song For Sisyphus,,,281,,,,
"Song Is You, The",408,,,342,,,
Sonja's Sanfona,,,,344,,,
Sonnymoon For Two,,,283,,,,
Soon,,,284,,,,
"Soothsayer, The",,,,,,,327
Sophisticated Lady,410,,,,349,,
"Sorcerer, The",411,,,,,,
SOS,,,,,,,319
Soul Eyes,,340,,,,,
Soul Sauce (Wachi Wara),,,,348,,,
Soul Surge,,,,,,,330
Soultrane,,341,,,,,
Sound Down,,,,,,,331
Sound Lee,,342,,,,,
Sound Track,,,,,,,331
South Street Exit,,,,,,,332
SPACE CIRCUS PART 1,413,,,,,,
SPACE CIRCUS PART 2,415,,,,,,
Space Circut Part 1,413,,,,,,
Space Circut Part 2,415,,,,,,
Spain,495,,,,351,,
Speak Like A Child,,343,,,,357,
Speak Low,,344,,448,,,
Speak No Evil,417,,,349,,,
Spiral,,345,,350,,,
Spiral Dance,418,,,,,,
Spirit Samba,,,285,,,,
Sporty,,,,,,,332
Spring Can Really Hang You Up the Most,,346,287,,353,,
Spring Is Here,419,,,,,359,
Squirrel,,,289,,,,
St. Thomas,,,,353,,,
Stablemates,,,290,,355,,
Stairway To The Stars,,,,,,360,
Star Eyes,,348,291,,,361,
STAR-CROSSED LOVERS,420,,,,,,
"Star-Crossed Lovers, The",420,,,,356,,
Stardust,,347,,,357,,
Stargazer,,,,,359,,
Stars Fell On Alabama,,,292,,,364,
Steepian Faith,,,,,,365,
Steeple Chase,,,293,,,,
Stella By Starlight,421,,,,,,
Step Lightly,,,,,,367,
Stepping Stone,,,,,,,335
Steps,422,,,,,,
Sticky Wicket,,,,354,,,
Still,,,,,362,,
Stockholm Sweetnin',,,,,,,316
Stolen Moments,423,,,,,,
Stompin' At The Savoy,424,,,,,369,
Stopstart,,,,,,,336
Stormy Weather,,,294,450,,,
Story Line,,,,,363,,
Straight Ahead,,,,,,,337
Straight Life,,350,,,,,
Straight Street,,,,,,,338
Straight Up And Down (Cores),,,,,,,339
Straight Up And Down (Dolphy),,,,,,,321
"Straight, No Chaser",425,,,,,,
Strayhorn 2,,351,,,,,
Street Life,,,,358,,,
Street Louis Blues,,349,,,,,
Street Of Dreams,,,295,,,370,
Strode Rode,,352,,,,,
Strollin',,353,,,365,,
Struttin' With Some Bar-B-Q,,354,,,,,
Stuff,426,,,,,,
Sub Aqua,,,,,,371,
Sub-Conscious-Lee,,355,,,,,
Sudden Samba,,,,361,,,
Sues Changes,,,,,,,342
Sugar,427,,,,,376,
Summer in Central Park,,356,,,369,,
"Summer Knows, The",,357,,,,,
Summer Night,,,,,,,341
Summer Samba,428,,,,,,
Summer Time,,330,,,,,
"Sunday Kind Of Love, A",,,,,,,329
Sunny,,,296,,,,
Sunny Side Of The Street,,,297,,,,
Sunrunner,,,,362,,,
Sunshine Express,,358,,,,,
Sunshower,,,,,,,343
Super Blue,,,,,,377,
Suspended Sentence,,,,,,,344
Swedish Pastry,429,,,,,,
Sweeping Up,213,,,,,,
Sweet and Lovely,,,,,372,,
Sweet Basil,,,,,,,345
Sweet Georgia Bright,430,,,,,,
Sweet Georgia Brown,,360,,,,,
Sweet Henry,431,,,,,,
Sweet Lorraine,,,298,,,379,
Sweet Love,,,,,,381,
Sweet Pea,,,,,,,344
Sweet Rain,432,,,,,,
"Sweetest Sounds, The",,359,,,,,
Swing Dentz Swing,,,299,,,,
Swing Shift,,,301,,,,
Swingin' Shepherd Blues,,330,,,,,
Swinging' Shepherd Blues,,330,,,,,
Sy Clone,,,302,,,,
Syeeda's Song Flute,,361,,,,,
Syn-Anthesia,,,,,,,317
T.B.C. (Terminal Baggage Claim),,,,,373,,
T.J.R.C.,,,303,,,,
Tadd's Delight,,364,,,,,
Take Five,433,,,,,,
Take It To The Ozone,,,,,,,349
"Take The ""A"" Train",434,,,364,,,
Taking A Chance On Love,,365,,,,383,
Tame Thy Pen,435,,,,,,
Tangerine,,366,,,,,
Tank Toon,,,,,,,348
Tautology,,367,,,,,
Tea For Two,,,305,,,,
Teach Me Tonight,,,304,,,,
Teenie' Blues,,368,,,,,
Teeter Totter,,,,,,,349
Tell Me A Bedtime Story,437,,,,,,
Tenderly,,369,,366,,,
Tennie's Blues,,368,,,,,
Tenor Madness,,383,,,,,
Terry's Chance,,,,,,,350
Teru,,,,,,,350
That Artt He's All Heart,,,,,,,351
That Girl,,,,,,385,
That Old Feeling,,,307,,,390,
That's All,,,308,,375,,
That's Earl Brother,,,,,,,352
That's Right,,,,,,,352
The A704Jitterbug Waltz,,191,165,,,201,
The Aerie,,,,,,13,
The Blessing,,,,,,,41
The Boy Next Door,,,44,,46,,
The Chase,,66,,,,,
The Core,,73,,,,,
The Days Of Wine And Roses,118,,,,,,
"The Disguise, The Sphinx",17,,,,,,
The Dolphin,134,,,,,,
The Double Up,,,,,,122,
The Drive,,88,,,,,
The Duke,140,,,,91,,
The End Of A Love Affair,,,82,,,,
The Fields We Know,164,,,,,,
The Gentle Rain,182,129,,,,138,
The Girl From Ipanema,184,,,,,,
The Goodbye Look,,,,138,,,
The Island,,,,172,,,
The Jody Grind,,190,,,,,
The Joint Is Jumpin',,,,,485,,
The Kicker,,205,,,,,
The Lady Is A Tramp,,,173,,,,
The Lamp Is Low,,,,,,212,
The Last Page,,211,,,,,
The Long View,,,183,,,,
The Loop,,,185,,,,
The Magician In You,293,,,,,,
The Man I Love,,236,,,,,
The Masquerade Is Over,,,,,211,,
The Meaning Of The Blues,,,199,,,,
The Midnight Sun,,,203,220,,,
The Midnight Sun Will Never Set,,,,221,,,
The Monster & The Flower,,,207,,,,
The More I See You,316,,,,,,
The Natives Are Restless Tonight,,,,,253,,
The Nearness Of You,,268,,,,,
The Necessary Blonde,,,,,257,,
The Night Has A Thousand Eyes,335,,,,,,
The Night We Called It A Day,,,219,,,,
The Party's Over,,,238,,,,
The Preacher,,307,,,,,
The Promise,,,,,304,,
The Raven,370,,,,,,
The Real Guitarist,371,,,,,,
The Scene Is Clean,,418,,,,,
The Second Time Around,,,,,,342,
The Shadow Of Your Smile,394,,,,,346,
The Song Is You,408,,,342,,,
The Sorcerer,411,,,,,,
The Star-Crossed Lovers,420,,,,356,,
The Summer Knows,,357,,,,,
The Sweetest Sounds,,359,,,,,
The Three Marias,,,,372,,,
The Thrill Is Gone,,,318,,,,
The Thumper,,363,,,,,
The Touch Of Your Lips,,,331,,,,
The Tracks Of My Tears,,,,,,409,
The Very Thought Of You,,,336,,,,
The Way You Look Tonight,,395,,408,,,
The Whopper,,402,,,,,
Their's Tears,,370,314,,,,
Theirs Tears,,370,,,,,
Them There Eyes,,,,,377,,
Theme For Ernie,,,,367,,,
Theme For Kareem,,,,,,,354
Theme From Maxine,,,309,,,,
Theme From Mr Broadway,,259,,,,,
Theme From Mr. Broadway,,259,,,,,
Theme Of No Repeat,,,,,,,355
Then I'll Be Tired Of You,,,310,,,,
There Goes My Heart,,,311,,,,
There Is No Greater Love,436,,,,378,,
There Will Never Be Another You,439,,,368,,,
There's A Lull In My Life,,,,,,393,
These Foolish Things (Remind Me Of You),,371,,369,,,
They Can't Take That Away From Me,440,,,,,,
They Say It's Wonderful,,,313,,,,
Things Ain't What They Used To Be,,372,315,,,,
Things To Come,,373,,,,,
Think Of One,,,,,,,356
Think On Me,441,,,,,,
Third Floor Richard,,,,,,,356
This Can't Be Love,,,316,,,,
This I Dig Of You,,374,,,,,
This Is New,,,,,,396,
This Is The Thing,,,,,,,358
This Lovely Feeling,,,,,,,358
This Masquerade,,237,,371,,,
Three And One,,,317,,,,
Three Base Hit,,420,,,,,
Three Flowers,442,,,,,,
Three Hearts Dancing,,,,,379,,
Three Little Words,,,,,385,,
"Three Marias, The",,,,372,,,
Three Vlews Of A Secret,,,,380,,,
"Thrill Is Gone, The",,,318,,,,
Thriving On A Riff,,375,,,,,
"Thumb, The",,,,,,,361
"Thumper, The",,363,,,,,
Thursdays Theme,,,,,,,361
Thyme's Time,,,319,,,,
Tickle-Toe,,376,,,,,
Tidal Breeze,,,321,,,,
Till There Was You,,377,,,,,
Time After Time,,378,,,,,
"Time For Love, A",,,322,,,,
Time Marches On,,,,,387,,
Time Remembered,445,,,,390,,
Time Remembers One Time Once,,,,382,,,
Time Tracks,,,,,391,,
Time Was,,,325,,,,
Times Lie,,,323,,,,
Timewisely,,,,,,,348
Tiny Capers,,,326,,,397,
Tiny's Blues,,,,,,,363
Tippin',,379,,,,,
Tis Autumn,,,,,,,369
Tis',,,327,,,,
To Kill A Brick,,,328,,,,
Toad's Place,,381,,,,,
Togetherness,,,,,395,,
Tokyo Dream,,,,,,399,
Tom Thumb,,,,,,,364
Tomato Kiss,,,,,,,363
Tomorrow's Destiny,,380,,,,,
Tones For Joan's Bones,443,,,,,,
Too Close For Comfort,,,329,,,,
Too High,,,,,,403,
Too Marvelous For Words,,,330,,,,
Tootsie Roll,,,,,,,364
Toshiko's Elegy,,,,,,,366
Totem Pole,,,,,,,367
"Touch Of Your Lips, The",,,331,,,,
Tough Talk,446,,,,,,
Tour De Force,,,,,,,368
Toy Tune,,,,,,408,
"Tracks Of My Tears, The",,,,,,409,
Train Samba,447,,,,,,
Trance,448,,,,,,
Trane's Blues,,383,,,,,
Travelin' West,,,,,,,368
Tricrotism,,,332,,,,
Trinkle Tinkle,,,,,,,369
Triple Play,,,,,,,370
Triste,449,,,383,,,
Tristeza,,,,,398,,
Truth,,,,,399,,
Tune 88,,,333,,,,
Tune Up,450,,,385,,,
TUNE-UP,450,,,,,,
Tunji,,,,,401,,
Tunnel Vision,,,,,403,,
Turbo,,,,,,,369
Turn Around,,384,,,,,
Turn Out The Stars,451,,,,409,,
Turn Your Love Around,,,,386,,,
Tuzz's Shadow,,,,,,411,
Twelve More Bars To Go,,,,,,,354
Twisted,,368,,388,,,
Two Bass Hit,,,,,,,371
Two Not One,,385,,,,,
Un Poco Loco,,,334,,,,
Undercurrent,,,,,,,372
Unforgettable,,,335,,411,,
Unit 7,,,,,,,372
Unit Seven,,,,390,,,
Unless It's You (Orbit),,,,,412,,
Unquity Road,452,,,,,,
Untitled Tune,491,,,,,,
Up Jumped Spring,453,,,393,,,
Up With The Lark,,,,394,,,
Upper Manhattan Medical Group,454,,,,,,
Valdez In The Country,,,,,,,373
Valse Hot,26,,,,,,
Valse Trists,,,,,,,374
Variations On The Scene,,,,,,,374
Vashkar,455,,,,,,
Veils,,,,,414,,
Velas (Velas Icadas),,,,396,,,
Velho Piano,,,,,415,,
Venus De Milo,,,,,,,375
Very Early,456,,,398,,,
"Very Thought Of You, The",,,336,,,,
Vicky's Dream,,,,,,,376
Violets For Your Furs,,,337,,,,
Virgo,457,,,,,,
Viscosity,,,,,,,378
"Visit, The",,,,,,,377
Vonetta,,386,,,,,
Vonetta (Earl Klugh),,,,,,,379
Voyage,,,,399,,,
Wabash III,,,,,417,,
Wail,,,338,,,,
Wait Til You See Her,458,,,,,,
Wait Till Forever,,,,,,,382
WAIT TILL YOU SEE HER,458,,,,,,
Walk Of The Negress,,,,,,416,
Walk Tall,,389,,,,,
"Walk'in Thing, A",,388,,,,,
Walkin',459,,,,,,
Walkin' Shoes,,387,,,,,
"Walkin' Thing, A",,388,,,,,
WALKING,459,,,,,,
Wall Street,,390,,,,,
Wall-Eye Blues,,,339,,,,
WALTER L,460,,,,,,
Walter L.,460,,,,,,
Waltse For Dave,,,,,419,,
Waltz,461,,,,,,
Waltz For A Lovely Wife,462,,,,,,
Waltz For Debby,463,,,400,,,
WALTZ FOR DERBY,463,,,,,,
Waltz New,,,,402,,,
WALTZIN,464,,,,,,
Waltzin',464,,,,,,
Warm Valley,,,,,,417,
Watch What Happens,,391,340,403,,,
Water Babies,,,,,,,380
Water Colors,,392,,,,,
Watermelon Man,,,341,,,,
Watersign,,393,,,,,
Waterwings,,,,404,,,
Wave,465,,,406,,,
Way To Go,,,,,,,380
"Way You Look Tonight, The",,395,,408,,,
We'll Be Together Again,466,,,412,,,
Webb City,,421,,,,,
Wee,,,,,,418,
Wee-Dot,,,,,,,384
Weekend Blues,,396,,,,,
WELL YOU NEEDN'T,467,,,,,,
"Well, You Needn't",467,,,413,,,
Wendy,,397,,,,,
Wes Side Stroll,,,343,,,,
West Coast Blues,468,,,414,,,
What A Difference A Day Made,,,342,,422,,
What A Little Moonlight Can Do,,,,,423,,
WHAT AM I HERE FOR,469,,,,,,
What Am I Here For?,469,,,,,,
WHAT ARE YOU DOING THE REST OF YOUR LIFE,470,,,,,,
What Are You Doing The Rest Of Your Life?,470,,,,,419,
WHAT IS THIS THING CALLED LOVE,473,,,,,,
What Is This Thing Called Love?,473,,,,,,
What Kind Of Fool Am I,,,345,,,,
What Kind Of Fool Am I?,,,345,,,,
What Was,471,,,,,,
What's Going On?,,,,,,421,
What's Love Got To Do With It?,,,,,,423,
What's New,,398,,,,,
What's New?,,398,,415,,,
Whatever Possessed Me,,,,,,,382
When All Is Said And Done,,,,,425,,
When I Fall In Love,474,,,,,,
When I Look In Your Eyes,,,,,,425,
When Lights Are Low,,399,,,,427,
When Sunny Gets Blue,475,,,,,,
When The Sun Comes Out,,,346,,,,
When You Meet Here,,,,,,,383
When Your Lover Has Gone,,,347,,,,
Whenever Your Heart Wants To Sing,,,,,427,,
WHERE ARE YOU,476,,,,,,
Where Are You?,476,,,,,429,
Where Is Love?,,,,416,,,
Where Or When,,,348,,,,
Where You At,,,,,,,385
While We're Young,,,349,,431,,
Whisper Not,,400,,,433,,
Who Can I Turn To,,401,,,,,
Who Can I Turn To?,,401,350,417,,,
Who Cares?,,,,,,,386
"Whopper, The",,402,,,,,
Why (Lewis),,,,,,,388
Why (Wilder),,,,,,,387
Why Did I Choose You,,,351,,,,
Wies Side Stroll,,,343,,,,
Wiichcraft,,,353,,,,
Wil I You Still Be Mine,,,352,,,,
WILD FLOWER,477,,,,,,
Wildflower,477,,,418,,,
Will You Say You Will,,,,,435,,
Will You Still Be Mine,,,352,,437,,
Willie Nillie,,,,,,,389
Willow,,,,,439,,
Willow Weep For Me,,403,,419,,,
Wind Sprint,,,,,441,,
Windows,479,,,,444,,
Wings Of Karma,481,,,,,,
Wise One,,,,,445,,
Witch Hunt,482,,,,,,
Witchcraft,,,353,420,,,
With Every Breath I Take,,,354,,,,
Without A Song,,,,,491,,
Wonder Why,,,,,,,390
Woody 'N You,483,,,,448,,
Words,,,,,449,,
Work,,,,,,,390
Work Song,,406,,,,,
Wow,,404,,,,,
Wrap Your Troubles In Dreams,,,355,,493,,
Wrong Is Right,,405,,,,,
X-Stream,,,,,,,38
Xlento,,,,,,,391
Yama,,,,,,,396
Yana Amina,,407,,,,,
Yardbird Suite,,407,,,,,
Yeah,,,,,,,391
Yearnin',,,,,,,392
Yellow Fields,,,,,,,395
Yes And No,484,,,421,,,
YES OR NO,484,,,,,,
Yesterday,485,,,,,,
Yesterdays,486,,,422,,,
You,,,,,,,392
You & The Night & The Music,,,356,,,,
You Are So Beautiful,,,,,,430,
You Are The Sunshine Of My Life,487,,,,,,
You Are Too Beautiful,488,,,,,,
You Better Leave It Alone,,406,,,,,
You Can't Go Home Again,,,,,,,393
You Do Something To Me,,,357,,,,
You Don't Know What Love Is,489,,,,,,
You Fascinate Me So,,,,,453,,
You Go To My Head,,,359,,,,
You Make Me Feel So Young,,,358,,,,
You Must Believe In Spring,,,361,,,431,
You Say You Care,,,,,495,,
You Stepped Out Of A Dream,,409,,,,433,
You Took Advantage Of Me,490,,,,,,
You'd Be So Nice To Come Home To,,410,,,,,
You're Everything,,,363,,455,,
You're My Everything,,,,,459,,
You're My Thrill,,,,,,,396
You've Changed,,,362,,,434,
Young And Fine,,,,,,,393
Young One For Debra,,,,,,,397
Young Rabbits,,,,423,,,
Younger Than Springtime,,,365,,,,
Your Mind Is On Vacation,,,,424,,,
Yours Is My Heart Alone,,,366,,,,
Zaybar,,,,,,,398
Zoom,,,,,,,400
